PING 10.0.0.1 (10.0.0.1) 616(644) bytes of data.
624 bytes from 10.0.0.1: icmp_seq=1 ttl=64 time=0.167 ms
624 bytes from 10.0.0.1: icmp_seq=2 ttl=64 time=0.134 ms
624 bytes from 10.0.0.1: icmp_seq=3 ttl=64 time=0.132 ms
624 bytes from 10.0.0.1: icmp_seq=4 ttl=64 time=0.132 ms
624 bytes from 10.0.0.1: icmp_seq=5 ttl=64 time=0.132 ms
624 bytes from 10.0.0.1: icmp_seq=6 ttl=64 time=0.133 ms
624 bytes from 10.0.0.1: icmp_seq=7 ttl=64 time=0.132 ms
624 bytes from 10.0.0.1: icmp_seq=8 ttl=64 time=0.138 ms
624 bytes from 10.0.0.1: icmp_seq=9 ttl=64 time=0.132 ms
624 bytes from 10.0.0.1: icmp_seq=10 ttl=64 time=0.132 ms
624 bytes from 10.0.0.1: icmp_seq=11 ttl=64 time=0.132 ms
624 bytes from 10.0.0.1: icmp_seq=12 ttl=64 time=0.132 ms
624 bytes from 10.0.0.1: icmp_seq=13 ttl=64 time=0.133 ms
624 bytes from 10.0.0.1: icmp_seq=14 ttl=64 time=0.132 ms
624 bytes from 10.0.0.1: icmp_seq=15 ttl=64 time=0.132 ms
624 bytes from 10.0.0.1: icmp_seq=16 ttl=64 time=0.138 ms
624 bytes from 10.0.0.1: icmp_seq=17 ttl=64 time=0.134 ms
624 bytes from 10.0.0.1: icmp_seq=18 ttl=64 time=0.132 ms
624 bytes from 10.0.0.1: icmp_seq=19 ttl=64 time=0.132 ms
624 bytes from 10.0.0.1: icmp_seq=20 ttl=64 time=0.132 ms
624 bytes from 10.0.0.1: icmp_seq=21 ttl=64 time=0.132 ms
624 bytes from 10.0.0.1: icmp_seq=22 ttl=64 time=0.132 ms
624 bytes from 10.0.0.1: icmp_seq=23 ttl=64 time=0.131 ms
624 bytes from 10.0.0.1: icmp_seq=24 ttl=64 time=0.137 ms
624 bytes from 10.0.0.1: icmp_seq=25 ttl=64 time=0.132 ms
624 bytes from 10.0.0.1: icmp_seq=26 ttl=64 time=0.132 ms
624 bytes from 10.0.0.1: icmp_seq=27 ttl=64 time=0.132 ms
624 bytes from 10.0.0.1: icmp_seq=28 ttl=64 time=0.132 ms
624 bytes from 10.0.0.1: icmp_seq=29 ttl=64 time=0.132 ms
624 bytes from 10.0.0.1: icmp_seq=30 ttl=64 time=0.132 ms
624 bytes from 10.0.0.1: icmp_seq=31 ttl=64 time=0.132 ms
624 bytes from 10.0.0.1: icmp_seq=32 ttl=64 time=0.137 ms
624 bytes from 10.0.0.1: icmp_seq=33 ttl=64 time=0.133 ms
624 bytes from 10.0.0.1: icmp_seq=34 ttl=64 time=0.132 ms
624 bytes from 10.0.0.1: icmp_seq=35 ttl=64 time=0.131 ms
624 bytes from 10.0.0.1: icmp_seq=36 ttl=64 time=0.132 ms
624 bytes from 10.0.0.1: icmp_seq=37 ttl=64 time=0.132 ms
624 bytes from 10.0.0.1: icmp_seq=38 ttl=64 time=0.132 ms
624 bytes from 10.0.0.1: icmp_seq=39 ttl=64 time=0.132 ms
624 bytes from 10.0.0.1: icmp_seq=40 ttl=64 time=0.138 ms
624 bytes from 10.0.0.1: icmp_seq=41 ttl=64 time=0.132 ms
624 bytes from 10.0.0.1: icmp_seq=42 ttl=64 time=0.131 ms
624 bytes from 10.0.0.1: icmp_seq=43 ttl=64 time=0.132 ms
624 bytes from 10.0.0.1: icmp_seq=44 ttl=64 time=0.131 ms
624 bytes from 10.0.0.1: icmp_seq=45 ttl=64 time=0.133 ms
624 bytes from 10.0.0.1: icmp_seq=46 ttl=64 time=0.132 ms
624 bytes from 10.0.0.1: icmp_seq=47 ttl=64 time=0.131 ms
624 bytes from 10.0.0.1: icmp_seq=48 ttl=64 time=0.137 ms
624 bytes from 10.0.0.1: icmp_seq=49 ttl=64 time=0.134 ms
